matrix_item_id,item_id_in_notebook,item_id,item_label,item_code_norm,genre,selection_rate_pct,n_selected,n_valid,flag_foil_endorsement_any_threshold
F001,fill2__003,fill2__003,Gonzalo Hervas,fill2,Foil,1.4,13,908,False
F002,fill3__006,fill3__006,Richard Gould,fill3,Foil,6.2,56,908,False
F003,fill4__007,fill4__007,Brian Callis,fill4,Foil,1.3,12,908,False
F004,fill5__008,fill5__008,Petr Sabluk,fill5,Foil,0.8,7,908,False
F005,fill6__009,fill6__009,Neil Bourke,fill6,Foil,3.5,32,908,False
F006,fill7__010,fill7__010,Chris Reynolds,fill7,Foil,5.9,54,908,False
F007,fill8__014,fill8__014,Paul Merwick,fill8,Foil,7.9,72,908,False
F008,fill9__019,fill9__019,Secundino Lopez,fill9,Foil,0.6,5,908,False
F009,fill10__020,fill10__020,Vladimir Sidorenko,fill10,Foil,4.5,41,908,False
F010,fill11__022,fill11__022,Stanislav Stepanovich,fill11,Foil,2.2,20,908,False
F011,fill12__023,fill12__023,Xiulian Jin,fill12,Foil,3.0,27,908,False
F012,fill13__024,fill13__024,Jan Dijkstra,fill13,Foil,5.2,47,908,False
F013,fill14__025,fill14__025,Valentin Vershinin,fill14,Foil,8.9,81,908,False
F014,fill12__028,fill12__028,Alexander Rosin,fill12,Foil,5.9,54,908,False
F015,fill13__032,fill13__032,Vladimir Pozdnyakov,fill13,Foil,16.0,145,908,True
F016,fill14__033,fill14__033,Mark Kravchenko,fill14,Foil,3.2,29,908,False
F017,fill15__034,fill15__034,Alexander Fomin,fill15,Foil,11.1,101,908,True
F018,fill16__036,fill16__036,Michael D. Kasler,fill16,Foil,6.2,56,908,False
F019,fill17__037,fill17__037,Hans-Peter Piefo,fill17,Foil,1.0,9,908,False
F020,fill18__040,fill18__040,Anatoly Agarin,fill18,Foil,1.7,15,908,False
F021,fill19__042,fill19__042,Tatyana Kazennova,fill19,Foil,0.1,1,908,False
F022,fill20__043,fill20__043,Alexander Hristov,fill20,Foil,1.9,17,908,False
F023,fill21__045,fill21__045,Ed Charmley,fill21,Foil,0.3,3,908,False
F024,fill22__046,fill22__046,Mikhail Ron,fill22,Foil,3.3,30,908,False
F025,fill23__047,fill23__047,Georgy Savchenko,fill23,Foil,6.8,62,908,False
F026,fill24__048,fill24__048,Valentin Levin,fill24,Foil,18.9,172,908,True
F027,fill25__050,fill25__050,Edwin Mac Gregory,fill25,Foil,6.9,63,908,False
F028,fill26__054,fill26__054,Davis Carter,fill26,Foil,6.5,59,908,False
F029,fill27__058,fill27__058,Debra Winslow,fill27,Foil,8.5,77,908,False
F030,fill28__059,fill28__059,Martha Schave,fill28,Foil,2.1,19,908,False
F031,fill29__060,fill29__060,Randy Dinkins,fill29,Foil,4.7,43,908,False
F032,fill30__068,fill30__068,Terry Aveling,fill30,Foil,1.1,10,908,False
