participant_id,author_hits,author_missing_n,author_missing_rate,foil_false_alarms,foil_missing_n,foil_missing_rate,hits,false_alarms,standard_art_score,art_name_score
1,12.0,0,0.0,0,0,0.0,12.0,0,12.0,12.0
2,48.0,0,0.0,2,0,0.0,48.0,2,46.0,48.0
3,39.0,0,0.0,1,0,0.0,39.0,1,38.0,39.0
4,29.0,0,0.0,2,0,0.0,29.0,2,27.0,29.0
5,52.0,0,0.0,1,0,0.0,52.0,1,51.0,52.0
6,28.0,0,0.0,2,0,0.0,28.0,2,26.0,28.0
7,17.0,0,0.0,1,0,0.0,17.0,1,16.0,17.0
8,52.0,0,0.0,1,0,0.0,52.0,1,51.0,52.0
9,19.0,0,0.0,1,0,0.0,19.0,1,18.0,19.0
10,26.0,0,0.0,1,0,0.0,26.0,1,25.0,26.0
11,47.0,0,0.0,8,0,0.0,47.0,8,39.0,47.0
12,20.0,0,0.0,3,0,0.0,20.0,3,17.0,20.0
13,63.0,0,0.0,3,0,0.0,63.0,3,60.0,63.0
14,28.0,0,0.0,6,0,0.0,28.0,6,22.0,28.0
15,45.0,0,0.0,3,0,0.0,45.0,3,42.0,45.0
16,73.0,0,0.0,0,0,0.0,73.0,0,73.0,73.0
17,68.0,0,0.0,0,0,0.0,68.0,0,68.0,68.0
18,26.0,0,0.0,0,0,0.0,26.0,0,26.0,26.0
19,48.0,0,0.0,12,0,0.0,48.0,12,36.0,48.0
20,48.0,0,0.0,0,0,0.0,48.0,0,48.0,48.0
21,49.0,0,0.0,3,0,0.0,49.0,3,46.0,49.0
22,42.0,0,0.0,2,0,0.0,42.0,2,40.0,42.0
23,71.0,0,0.0,0,0,0.0,71.0,0,71.0,71.0
24,43.0,0,0.0,1,0,0.0,43.0,1,42.0,43.0
25,38.0,0,0.0,0,0,0.0,38.0,0,38.0,38.0
26,32.0,0,0.0,2,0,0.0,32.0,2,30.0,32.0
27,44.0,0,0.0,12,0,0.0,44.0,12,32.0,44.0
28,38.0,0,0.0,0,0,0.0,38.0,0,38.0,38.0
29,23.0,0,0.0,11,0,0.0,23.0,11,12.0,23.0
30,36.0,0,0.0,14,0,0.0,36.0,14,22.0,36.0
31,67.0,0,0.0,7,0,0.0,67.0,7,60.0,67.0
32,21.0,0,0.0,1,0,0.0,21.0,1,20.0,21.0
33,70.0,0,0.0,11,0,0.0,70.0,11,59.0,70.0
34,74.0,0,0.0,19,0,0.0,74.0,19,55.0,74.0
35,46.0,0,0.0,2,0,0.0,46.0,2,44.0,46.0
36,39.0,0,0.0,1,0,0.0,39.0,1,38.0,39.0
37,42.0,0,0.0,2,0,0.0,42.0,2,40.0,42.0
38,54.0,0,0.0,8,0,0.0,54.0,8,46.0,54.0
39,62.0,0,0.0,3,0,0.0,62.0,3,59.0,62.0
40,52.0,0,0.0,7,0,0.0,52.0,7,45.0,52.0
41,48.0,0,0.0,5,0,0.0,48.0,5,43.0,48.0
42,34.0,0,0.0,13,0,0.0,34.0,13,21.0,34.0
43,61.0,0,0.0,2,0,0.0,61.0,2,59.0,61.0
44,26.0,0,0.0,1,0,0.0,26.0,1,25.0,26.0
45,52.0,0,0.0,4,0,0.0,52.0,4,48.0,52.0
46,15.0,0,0.0,2,0,0.0,15.0,2,13.0,15.0
47,24.0,0,0.0,5,0,0.0,24.0,5,19.0,24.0
48,65.0,0,0.0,5,0,0.0,65.0,5,60.0,65.0
49,40.0,0,0.0,10,0,0.0,40.0,10,30.0,40.0
50,14.0,0,0.0,0,0,0.0,14.0,0,14.0,14.0
51,40.0,0,0.0,0,0,0.0,40.0,0,40.0,40.0
52,21.0,0,0.0,2,0,0.0,21.0,2,19.0,21.0
53,32.0,0,0.0,1,0,0.0,32.0,1,31.0,32.0
54,60.0,0,0.0,10,0,0.0,60.0,10,50.0,60.0
55,60.0,0,0.0,3,0,0.0,60.0,3,57.0,60.0
56,31.0,0,0.0,1,0,0.0,31.0,1,30.0,31.0
57,40.0,0,0.0,0,0,0.0,40.0,0,40.0,40.0
58,16.0,0,0.0,0,0,0.0,16.0,0,16.0,16.0
59,15.0,0,0.0,0,0,0.0,15.0,0,15.0,15.0
60,52.0,0,0.0,11,0,0.0,52.0,11,41.0,52.0
61,33.0,0,0.0,11,0,0.0,33.0,11,22.0,33.0
62,53.0,0,0.0,1,0,0.0,53.0,1,52.0,53.0
63,19.0,0,0.0,0,0,0.0,19.0,0,19.0,19.0
64,14.0,0,0.0,1,0,0.0,14.0,1,13.0,14.0
65,28.0,0,0.0,3,0,0.0,28.0,3,25.0,28.0
66,57.0,0,0.0,17,0,0.0,57.0,17,40.0,57.0
67,17.0,0,0.0,8,0,0.0,17.0,8,9.0,17.0
68,26.0,0,0.0,1,0,0.0,26.0,1,25.0,26.0
69,36.0,0,0.0,8,0,0.0,36.0,8,28.0,36.0
70,34.0,0,0.0,1,0,0.0,34.0,1,33.0,34.0
71,22.0,0,0.0,8,0,0.0,22.0,8,14.0,22.0
72,25.0,0,0.0,8,0,0.0,25.0,8,17.0,25.0
73,27.0,0,0.0,1,0,0.0,27.0,1,26.0,27.0
74,34.0,0,0.0,6,0,0.0,34.0,6,28.0,34.0
75,26.0,0,0.0,2,0,0.0,26.0,2,24.0,26.0
76,13.0,0,0.0,0,0,0.0,13.0,0,13.0,13.0
77,34.0,0,0.0,1,0,0.0,34.0,1,33.0,34.0
78,21.0,0,0.0,4,0,0.0,21.0,4,17.0,21.0
79,24.0,0,0.0,1,0,0.0,24.0,1,23.0,24.0
80,38.0,0,0.0,1,0,0.0,38.0,1,37.0,38.0
81,41.0,0,0.0,10,0,0.0,41.0,10,31.0,41.0
82,33.0,0,0.0,8,0,0.0,33.0,8,25.0,33.0
83,31.0,0,0.0,6,0,0.0,31.0,6,25.0,31.0
84,27.0,0,0.0,2,0,0.0,27.0,2,25.0,27.0
85,40.0,0,0.0,16,0,0.0,40.0,16,24.0,40.0
86,38.0,0,0.0,1,0,0.0,38.0,1,37.0,38.0
